Order,Text
0,まず、賛成派か反対派を聞こう
1,とりあえず賛成派の意見と反対派の意見を羅列するみたいな感じですよね
2,うんうんうん。賛成派の人は
3,あ、ていうか、どちらも洗い出したんですよ。
4,お、マジか。じゃあちょっとお願いしていい？
5,洗い出したやつでもいいですか？
6,何か…EU離脱の反対派の理由からちょっと…つまり残った方がいいって言ってる人の理由を
7,色々ちょっと調べてみたんですけど、
8,残ってるとビジネスがやりやすいっていう人が多い。
9,やっぱりその…かなり、流通というか、色々と楽にできるのでビジネスがやりやすいっていうのと、
10,あとそもそも、EUにいることによっていろんな人がやってくるわけですよね。
11,それによる多様性っていうのはいいことでしょう、みたいな、そういう意見があるらしいのと
12,あとやっぱり関税がかからないっていうのと、あとは…ここからは僕もちょっとよく分からないんですけど、
13,信用…EU離脱しちゃうと信用が低下するので、なのでそうなるとポンド安が起きるんですが
14,それによって輸入大国のイギリスはポンド安が起こると結局、他国の製品が相対的に高くなるので、
15,ただでさえ輸入で成り立ってるのにそれが起こるとマズいねっていうのと、
16,あとは金融の中心になれなくなっちゃうっていうのもあるんで。
17,なんかその、反対派の中にはEUにいるということが良いというのはなかなか…その…
18,少なくとも、EUを出ることによって被る不利益みたいなものを恐れているっていうのが結構多いのかな、みたいな
19,そういう感じがしますね。
20,賛成派について調べてる人がいたらお願いしたいんですけど…
21,あんまりちょっと…反対の方ばかり調べてて賛成があんまり…。
22,じゃあ賛成が残留？
23,賛成は残留…ん？違う違う。
24,賛成は離脱です。
25,そうだ、離脱に賛成なので。
26,あ、離脱に賛成ね。
27,ややこしい。
28,ややこしいですよね。
29,僕はえっと…離脱か、離脱派の意見かなと思って、僕は個人的な意見なんですけど
30,まぁさっきも仰ってた関税が…離脱すると関税が生まれる状況になると仰ってたんですけど
31,逆に今までがぬるま湯だったっていうか、関税がないという
32,うん。
33,ぬるま湯に浸かってた…まあ反動、いずれは起きることであったであろうことかなと思ってますから
34,もうそれだったら、もう離脱して…この離脱っていうのもイギリスだけじゃなくて、全員
35,もう解散という離脱がいいかなと、自分的には。
36,ああ、なるほど。
37,禍根を残さないようにできれば、これからも取引先…というか取引国って言うんですかね、として
38,禍根を残さないように、取引もできるようにイギリスだけでなくてみんなが一斉に解散という方が
39,条件が一緒と言いますかね、禍根は残しにくいのかなと。
40,で、なんか移民による働き手が減るんじゃないの、という意見もあるんですけど
