Order,Start time(HH:MM:SS),End time(HH:MM:SS),Text,Speaker,Start time(ms),End time(ms)
0,00:00:00,00:00:13,話し合ってみる ちょっと方向性を決めてから 昔から,2,160,13220
1,00:00:13,00:00:20,まず 賛成派と反対派 顔,2,13220,20420
2,00:00:20,00:00:26,言っても とりあえず 賛成派の意見と県外派の意見を羅列するから,0,20428,26788
3,00:00:26,00:00:30,なぜ話とは,2,26808,30348
4,00:00:30,00:00:31,どちらも,1,30368,31728
5,00:00:31,00:00:34,おまじか,2,31752,34392
6,00:00:34,00:00:41,払出単価 EU 離脱 の園,1,34415,41452
7,00:00:41,00:01:07,反対派の理由からちょっと残った方がいいって言ってる人の理由は 色々 ちょっと知らんかったんすけど なんか怒ってるとビジネスがやりやすいっていう人が多い やっぱり そのまあなんか かなり その他のいろいろと楽にできるので ビジネスがやりやすいっていうの と あとそもそもなんか あの,1,41452,67145
8,00:01:07,00:01:24,EU に入ることによっていろんな人がやってくるわけですよね それによる多様性ってのはいいことでしょう みたいな そういう意見があるらしいのとあと やっぱり その関税がかからない,1,67145,84505
9,00:01:24,00:01:50,今 ドア ドア へと ここから味の真 無料 若いんですけどえっとなんか 神様 EU 離脱 しちゃうと信用が低下するのでなのでそうなるとポンド安 が起きるんですがそれによって輸入大国のイギリスは ポンド 安心 時も この精神が育てに高くなるので ただでさえ 輸入で成り立ってるのにそれが起こるとまずいねっていう,1,84505,110415
10,00:01:50,00:02:17,音 まあ 後は金融の中心になれなくなっちゃうっていうのもあるんで なんかその反対派 中には頭のいい湯に入るということが良いというのはなかなかそのは少なくなんか 家を出ることによって そのプール なんか不利益 みたいなものを恐れてるって言うのことなのかな アンテナ そういう感じがします,1,110415,137455
11,00:02:17,00:02:24,33 生配信で喋ったら何かお願いしたいんですけど あんま ちょっと反対,1,137455,144295
12,00:02:24,00:02:28,あんまり3 残留,2,144301,148601
13,00:02:28,00:02:36,青山龍,1,148617,156517
14,00:02:36,00:02:51,,0,156529,171589
15,00:02:51,00:02:55,離脱か,2,171609,175459
16,00:02:55,00:03:24,離脱 派の意見 かなとでも 家具的な意見なんすけどまぁまさきも シャッターの関税が離脱すると関税が生まれる状況になるとおっしゃってたんですけどまぁ 逆に今までが ぬるま湯だったっていうか 感性がないという ぬるま湯に浸かってる 雨,2,175459,204229
17,00:03:24,00:03:53,反動は何が起きることであったであろうと かなと思ってますから もうそれだったらもう離脱してねほの離脱っていうのも イギリスだけじゃなくてもう 全員 解散 という 離脱 がいいかなと 自分的にはその禍根を残さないように出来ればはこれからもまあ,2,204229,233989
18,00:03:53,00:04:23,その取引先 追加 取引 航空券風としては過去を残さないように取引もできるようにイギリスだけでなくても 皆が一斉に解散というほうが 条件が一緒と言いますかね 箱は残しにくいのかなと 電話なんか意味による働き手が減るんじゃないの という意見もあるんですけど 今なんか 人口 調べたところ 自然,2,233989,263959
19,00:04:23,00:04:52,そのドラ 出生率が死亡率を上回ってるらしいんですよ イギリスは何で出生率が上回ったからを自然に増えていくんすよ あと バックスの意味がいなくてもということもあっては特に移民による働き手が減るっていうのは考えなくていいのかな とは確かに でもその生産人口 19から45歳の割合は減っていくかもしれないんですけど,2,263959,292539
20,00:04:52,00:05:20,また夏の空に イギリスにその意味が減るだけであって 意味 お断り ってわけではないんでは少なからず ちょっとは 意味も入ってくるということもあるんで まぁそこまでその働き手が減ることは 日本と比べて 考えなくていいのかなと イギリスだったら ていうことですかね 僕ちょっとの意見だ,2,292539,320389
21,00:05:20,00:05:27,はい この運転しかもう早々に言っていうのを解散させた,0,320401,327381
22,00:05:27,00:05:28,いいんじゃないって言う,2,327389,328769
23,00:05:28,00:05:41,が 逆にその理由として 固まった方がいい 利点としては多分 ヨーロッパ 全体が飲めるみたいな感じですよね,0,328785,341595
24,00:05:41,00:05:44,それはよろしくないって,0,341595,344585
25,00:05:44,00:05:51,夢物語というが イギリスだけどこの支店から考えようかなと思ってて,2,344593,351983
26,00:05:51,00:06:11,僕は今回この池を考えたのは今日本 目線と言うか 第三者目線で考えたんでこういう気になったんですけど確かに イギリス 目線で考えたり そういう風に属している国 目線で考えたら ちょっとペースで離脱ってのはちょっと夢物語になっちゃうんですけど今回,2,351983,371693
27,00:06:11,00:06:16,第三者目線で ギリシャとかはすげー体制が,0,371705,376725
28,00:06:17,00:06:25,底が抜けたら自動的に死滅 三大戦争あるべき姿ってあるべき姿,0,377241,385421
29,00:06:25,00:06:28,国が財政破綻してどうなるの,1,385437,388617
30,00:06:28,00:06:30,破綻したら,0,388633,390413
31,00:06:30,00:06:31,これ それが,1,390421,391861
32,00:06:31,00:06:35,もうあれじゃないですか ジンバブエドルみたいな感じで,0,391881,395921
33,00:06:35,00:06:40,ハイパーインフルエンザ 出ます,2,395937,400877
34,00:06:40,00:06:44,外貨 導入してなんとなく,0,400901,404021
35,00:06:44,00:07:05,ギリシャは確かに理由があるから なんとか生き残ってるって感じですけど でも なんかすごいね ここだけですけど 何か それが分からないんじゃないっていうなんか,2,404041,425641
36,00:07:05,00:07:18,それだったらもうスパっとどっかの国にも貰ってもらうとか言うほうが 延命というよりかはもうぱっと 言った方がいいんじゃないかなと思うけどね,2,425641,438601
37,00:07:18,00:07:22,なんかあれっすよ 何か言うで固まることになって止めるものが,0,438613,442913
38,00:07:23,00:07:44,漢字でもどんどん 格差が広がってきそうだな っていうのは確かに僕もしたし 車イスで僕が調べた内容としては その なんでそこまでブレグジットが このトラ は走るのは 話題になってしまってるのか って言うの,0,443809,464199
39,00:07:44,00:08:01,チャレダン7でやっぱ出てきたのが 北アイルランド問題あるんだって簡単に言うと アイルランド あるじゃないですか そのうち 他の部分の アイルランドは英国領の老舗ギリスが閉じてるらしくて,0,464199,481939
40,00:08:01,00:08:30,大臣 イギリスって プロテスタントが送ってきた アイルランドの部分は プロテスタントが多めで普通のアイルランドはカトリックを言っているのですごく褒めていたらしいんですけど今のなんか今の状況としてはあ 今はいいよ 入ってる状況であれば 北アイルランド も イギリスも EU に入っているので 全然入国審査とかなしでも,0,481939,510264
41,00:08:30,00:08:59,国境を越えて行けるって言うので 今はその北アイルランド アイルランド問題ってのは割と弱かったんですけどもし国境とか目に見える形で分担されていくともっと その問題が複雑になってしまうじゃないかな っていう意見が多かったらしいです で最初の段階でメイ 首相は EU との合意案,0,510264,539759
42,00:08:59,00:09:26,今日 提案を考えたらしいんですけどその案ではぐれ子 グレグジット するよりもまず着替えるランド問題を最優先に考えるって言う方向 やったらしいんですよ だからなんか ブレグジットをすれば自動的に動きを 合わせ目に見える形で支店 轢かれてまた紛争が勃発してしまう,0,539759,566639
43,00:09:26,00:09:53,日本でブレグジット してなかったら確かに 右がちょっと反映されないけどそこの紛争問題は安定的な状況を迎えるかな っていうのでトレードオフの関係に陥ってしまっているという状況 らしいです でもう一つ加えて 他の携帯できなこやん もうちょっと調べてみたんですよでその,0,566639,593349
44,00:09:53,00:10:16,元々 EU にいた時は逃げないで 関税がない 魅力 だからかなり EU の中の貿易って意味では有利なんですけどこれ 難しくてですね その離脱 賛成派の意見としては その後 トイレ行けたとしても あなたに言うと,0,593349,616809
45,00:10:16,00:10:39,イギリス トレー ね 自由貿易協定とかを組んでほぼ完全 めちゃくちゃ 低い時にすればいいんじゃないかという意見とかが出ていたんですが 試験 それができれば全然 デメリット ナイス イギリスとしては経済的面も全然てみるとなく生きるんですけど ですけど 例えば,0,616809,639309
46,00:10:39,00:11:07,イギリスの身になってみると 別にいいんだけど 自由貿易協定 しなくてよくね アメリカとでもないし なんなら アメリカの方が安くて質の良い物が買えるからでそこと 自由競艇やったとして まず アメリカからイギリスに ほぼフリーで帰ってくるんでその商品はた 古い ほぼフリーで au に流通してしまうと,0,639309,667999
47,00:11:07,00:11:34,もともと家が抱えてた その英雄 内の仕事を守るっていう当初の目的が果たされないみたいな花っていうのがあって たぶんこういう夢のような状況できないだろうっていうので離脱 派はそのうちにあまり気づいてなくてアホで だんだん 今 ブレグジットしてますけどね,0,667999,694319
48,00:11:34,00:12:03,今年の10月の鹿 に ほぼ完了したみたいなんですけど EU 離脱 が理想をしてしまった時の問題が 今 明るみに出てきてあと元々 経済的なメリットがあるはずだったのに離脱してもむしろ なんか 完全もいろんなとこから彼氏マイナス ポイント 歌だけじゃないっていうので淡々 不満が高まってきている,0,694319,723339
